Date,Symbol,Price,Open,High,Low,Vol.,Change %,Sector,Name,Industry
"Nov 07, 2021",2222,34.18,34.18,34.23,34.09,2.85M,-0.66%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 04, 2021",2222,34.41,34.14,34.41,34.09,3.70M,0.66%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 03, 2021",2222,34.18,34.41,34.41,34.14,3.50M,-0.79%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 02, 2021",2222,34.45,34.32,34.45,34.23,5.60M,0.40%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Nov 01, 2021",2222,34.32,34.45,34.55,34.32,5.71M,-0.40%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 31, 2021",2222,34.45,34.45,34.82,34.36,10.00M,0.40%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 28, 2021",2222,34.32,34.18,34.36,34.05,9.17M,0.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 27, 2021",2222,34.27,33.95,34.55,33.95,13.38M,0.80%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 26, 2021",2222,34.00,34.00,34.09,33.91,8.66M,-0.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 25, 2021",2222,34.05,33.91,34.09,33.91,8.12M,0.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 24, 2021",2222,34.00,34.05,34.14,34.00,5.78M,-0.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 21, 2021",2222,34.05,33.91,34.18,33.86,7.20M,0.54%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 20, 2021",2222,33.86,33.95,34.05,33.73,5.77M,-0.53%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 19, 2021",2222,34.05,34.00,34.18,33.91,5.60M,0.13%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 18, 2021",2222,34.00,34.00,34.00,33.86,4.57M,0.00%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 17, 2021",2222,34.00,33.86,34.14,33.82,8.60M,0.27%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 14, 2021",2222,33.91,33.64,33.95,33.59,7.40M,0.81%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 13, 2021",2222,33.64,33.77,33.82,33.59,5.10M,-0.54%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 12, 2021",2222,33.82,33.64,34.05,33.50,11.14M,0.54%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
"Oct 11, 2021",2222,33.64,33.59,33.91,33.32,10.23M,0.14%,Energy,Saudi Aramco,"Oil, Gas & Consumable Fuels"
